Codigo_M,Nombre_M,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
22 001,Amealco de Bonfil,"1,664",192,159,119,108,126,123,139,128,111,140,171,148
22 002,Pinal de Amoles,777,66,57,78,43,51,66,52,72,55,51,86,100
22 003,Arroyo Seco,297,29,27,12,9,28,14,23,23,23,28,44,37
22 004,Cadereyta de Montes,"1,168",104,100,90,78,101,69,96,100,70,116,137,107
22 005,Colón,"1,316",135,97,94,79,119,93,111,110,108,137,126,107
22 006,Corregidora,"1,765",145,143,135,121,166,135,144,155,122,146,183,170
22 007,Ezequiel Montes,773,66,62,47,45,78,56,68,61,51,59,73,107
22 008,Huimilpan,867,82,74,47,51,77,64,72,62,68,76,87,107
22 009,Jalpan de Serra,536,51,58,40,42,41,37,30,35,35,38,55,74
22 010,Landa de Matamoros,432,31,23,32,36,40,25,54,61,25,36,32,37
22 011,El Marqués,"2,180",163,198,173,136,201,183,186,207,122,183,226,202
22 012,Pedro Escobedo,"1,399",137,125,106,96,121,100,109,94,118,133,140,120
22 013,Peñamiller,407,44,30,18,32,34,34,41,30,25,36,39,44
22 014,Querétaro,"14,937","1,302","1,144","1,287","1,062","1,384","1,185","1,309","1,275","1,233","1,386","1,224","1,146"
22 015,San Joaquín,176,15,14,13,7,14,27,11,16,10,16,18,15
22 016,San Juan del Río,"4,746",415,343,376,335,425,383,421,426,395,477,395,355
22 017,Tequisquiapan,"1,242",129,88,119,83,108,82,106,101,94,157,102,73
22 018,Tolimán,505,42,42,37,33,46,34,37,44,31,49,63,47
22 999,No especificado,28,3,1,,1,9,4,,,1,8,1,
